Title,Publish Year,Unique Words,Total Words,Percent Unique
The Mysterious Affair at Styles,1920,5668.0,62977.0,9.0001111516903
The Secret Adversary,1922,7853.0,85571.0,9.177174510055977
The Murder on the Links,1923,6347.0,70628.0,8.986520926544713
The Man in the Brown Suit,1924,7343.0,82474.0,8.903411984382958
The Secret of Chimneys,1925,7002.0,85175.0,8.22072204285295
The Murder of Roger Ackroyd,1926,6034.0,78172.0,7.718876324003479
The Big Four,1927,6206.0,59839.0,10.371162619696186
The Myster of the Blue Train,1928,6386.0,70384.0,9.073084791998182
The Seven Dials Mystery,1929,6473.0,77285.0,8.375493304004658
The Murder at the Vicarage,1930,6038.0,70928.0,8.512858109632303
Giant's Bread,1930,8166.0,117884.0,6.927148722472939
The Sittaford Mystery,1931,6068.0,64231.0,9.447151686880167
Peril at End House,1932,6502.0,54382.0,11.956161965356184
The Floating Admiral,1932,7873.0,102758.0,7.661690573969909
Lord Edgware Dies,1933,5901.0,72356.0,8.155508872795622
Three Act Tragedy,1934,5862.0,65042.0,9.012637987761755
Murder on the Orient Express,1934,5379.0,66387.0,8.10248994532062
Death in the Clouds,1935,6219.0,60170.0,10.33571547282699
Why Didn't They Ask Evans?,1935,6066.0,62984.0,9.631017401244762
The ABC Murders,1936,7572.0,57981.0,13.05945050964971
Murder in Mesopotamia,1936,5825.0,74365.0,7.832985947690446
Cards on the Table,1937,5616.0,65646.0,8.55497669317247
Dumb Witness,1937,6747.0,83920.0,8.039799809342231
Appointment with Death,1938,6306.0,54545.0,11.56109634246952
Death On the Nile,1938,8445.0,92307.0,9.148818616139621
Murder Is Easy,1939,5760.0,53757.0,10.714883643060439
Hercule Poirot's Christmas,1939,5145.0,67367.0,7.637270473674055
Sad Cypress,1940,5038.0,63552.0,7.927366565961733
N or M?,1941,6371.0,62631.0,10.172278903418434
"One, Two, Buckle My Shoe",1941,5915.0,59157.0,9.998816708081884
Evil Under the Sun,1941,5406.0,65165.0,8.295864344356634
And Then There Were None,1941,6393.0,52662.0,12.139683263073943
Five Little Pigs,1942,5865.0,71228.0,8.2341214129275
The Body in the Library,1942,5308.0,47550.0,11.162986330178759
The Moving Finger,1942,5285.0,48102.0,10.987069144734107
Towards Zero,1944,5762.0,56906.0,10.12547007345447
Death Comes as the End,1944,5454.0,61487.0,8.870167677720493
Absent in the Spring,1944,5515.0,57918.0,9.522082944853068
Sparkling Cyanide,1945,6218.0,62115.0,10.010464461080254
The Hollow,1946,6606.0,72084.0,9.164308306975196
Taken at the Flood,1948,6367.0,62653.0,10.162322634191499
Crooked House,1949,5652.0,55876.0,10.115255207960484
A Murder Is Announced,1950,6802.0,72278.0,9.410885746700242
They Came to Baghdad,1951,3223.0,25838.0,12.473875686972676
They Do It with Mirrors,1952,5325.0,60642.0,8.781042841594934
Mrs McGinty's Dead,1952,6218.0,60542.0,10.270555977668396
After the Funeral,1953,6668.0,71278.0,9.35492017172199
A Pocket Full of Rye,1954,5631.0,58136.0,9.685908903261318
Hickory Dickory Dock,1955,2520.0,25604.0,9.842212154350882
Destination Unknown,1955,6587.0,60976.0,10.802610863290475
Dead Man's Folly,1956,6069.0,61291.0,9.901943189048962
4.50 from Paddington,1957,2571.0,25545.0,10.064591896652965
Ordeal by Innocence,1959,5381.0,79238.0,6.79093364294909
Cat Among the Pigeons,1960,2287.0,23998.0,9.529960830069173
The Pale Horse,1962,6965.0,63018.0,11.052397727633375
The Mirror Crack'd from Side to Side,1963,6129.0,69436.0,8.826833342934501
The Clocks,1964,6253.0,84963.0,7.359674211127197
A Caribbean Mystery,1965,4850.0,60611.0,8.001847849400274
At Bertram's Hotel,1965,6091.0,67927.0,8.966979257143699
Third Girl,1967,6471.0,72351.0,8.943898494837667
Endless Night,1968,4873.0,72425.0,6.72833966171902
By the Pricking.. ,1968,6159.0,80437.0,7.656924052363961
Hallowe'en Party,1969,5982.0,67437.0,8.870501356821922
Passenger to Frankfurt,1970,7287.0,76901.0,9.47581956021378
Nemesis,1971,6119.0,77360.0,7.909772492244054
Elephants Can Remember,1972,4863.0,60806.0,7.997566029668126
Postern of Fate,1973,5912.0,88573.0,6.67472028722071
